Player,height,weight,collage,born,birth_city,birth_state
John Pritchard,206,99,Drake University,1927,,
John Pinone,203,104,Villanova University,1961,Hartford,Connecticut
John Pilch,190,83,University of Wyoming,1925,Sheridan,Wyoming
John Paxson,188,83,University of Notre Dame,1960,Dayton,Ohio
John Olive,201,95,Villanova University,1955,Philadelphia,Pennsylvania
John Oldham,190,79,Western Kentucky University,1923,Beaver Dam,Kentucky
John O'Boyle,188,83,Colorado State University,1928,,
John Morton,190,81,Seton Hall University,1967,Bronx,New York
John Mengelt,188,88,Auburn University,1949,Lacrosse,Wisconsin
John McCullough,193,86,University of Oklahoma,1956,Lima,Ohio
John McConathy,196,88,Northwestern State University,1930,Sailes,Louisiana
John Mandic,193,92,Oregon State University,1919,Los Angeles,California
John Mahnken,203,99,Georgetown University,1922,New Jersey,New Jersey
John Lucas,190,79,University of Maryland,1953,Durham,North Carolina
John Long,196,88,University of Detroit Mercy,1956,Romulus,Michigan
John Logan,188,79,Indiana University,1921,Richmond,Indiana
John Laskowski,198,83,Indiana University,1953,South Bend,Indiana
John Lambert,208,102,University of Southern California,1953,Berkeley,California
John Kuester,188,81,University of North Carolina,1955,Richmond,Virginia
John Johnson,201,90,University of Iowa,1947,Carthage,Mississippi
John Jenkins,193,97,Vanderbilt University,1991,Nashville,Tennessee
John Hummer,206,104,Princeton University,1948,Washington,District of Columbia
John Henson,211,103,University of North Carolina,1990,Greensboro,North Carolina
John Havlicek*,196,92,Ohio State University,1940,Martins Ferry,Ohio
John Hargis,188,81,University of Texas at Austin,1920,Nacogdoches,Texas
John Greig,201,97,University of Oregon,1961,Sacramento,California
John Gianelli,208,99,University of the Pacific,1950,Stockton,California
John Garris,203,92,Boston College,1959,Bridgeport,Connecticut
John Fairchild,203,92,Brigham Young University,1943,Encinitas,California
John Edwards,213,124,Kent State University,1981,Warren,Ohio
John Duren,190,88,Georgetown University,1958,Washington,District of Columbia
John Drew,198,92,Gardner-Webb University,1954,Vredenburgh,Alabama
John Douglas,188,77,University of Kansas,1956,Town Creek,Alabama
John Crotty,185,83,University of Virginia,1969,Orange,New Jersey
John Coughran,201,102,University of California,1951,Pittsburg,California
John Coker,213,114,Boise State University,1971,Richland,Washington
John Chaney,190,83,Louisiana State University,1920,,
John Celestand,193,80,Villanova University,1977,Houston,Texas
John Brown,201,99,University of Missouri,1951,Frankfurt,Germany
John Brisker,196,95,University of Toledo,1947,Detroit,Michigan
John Block,206,93,University of Southern California,1944,Los Angeles,California
John Battle,188,79,Rutgers University,1962,Washington,District of Columbia
John Barnhill,185,81,Tennessee State University,1938,Sturgis,Kentucky
John Barber,198,95,"California State University, Los Angeles",1927,,
John Bagley,183,83,Boston College,1960,Bridgeport,Connecticut
John Arthurs,193,83,Tulane University,1947,,
John Amaechi,208,122,Pennsylvania State University,1970,Boston,Massachusetts
Johan Petro,213,112,,1986,Paris,France
Joffrey Lauvergne,211,99,,1991,Mulhouse,France
Joey Graham,201,102,Oklahoma State University,1982,Wilmington,Delaware
Joey Dorsey,203,121,University of Memphis,1983,Baltimore,Maryland
Joel Przybilla,216,115,University of Minnesota,1979,Monticello,Minnesota
Joel Kramer,201,92,San Diego State University,1955,San Diego,California
Joel Freeland,208,113,,1987,Farnham,United Kingdom
Joel Embiid,213,113,University of Kansas,1994,Yaounde,Cameroon
Joel Bolomboy,206,106,Weber State University,1994,Kiev,Ukraine
Joel Anthony,206,111,"University of Nevada, Las Vegas",1982,Montreal,Canada
Joe Young,188,81,University of Oregon,1992,Houston,Texas
Joe Wolf,211,104,University of North Carolina,1964,Kohler,Wisconsin
Joe Thomas,198,92,Marquette University,1948,Canton,Georgia
Joe Strawder,208,106,Bradley University,1940,Belle Glade,Florida
Joe Stephens,201,95,University of Arkansas at Little Rock,1973,Riverside,California
Joe Smyth,190,97,Niagara University,1929,,
Joe Smith,213,106,University of Southern Colorado,1944,Columbus,Mississippi
Joe Ruklick,206,99,Northwestern University,1938,Princeton,Illinois
Joe Roberts,198,97,Ohio State University,1936,,
Joe Reaves,196,95,Bethel College,1950,,
Joe Pace,208,99,Coppin State University,1953,New Brunswick,New Jersey
Joe Mullaney,183,74,College of the Holy Cross,1925,Long Island,New York
Joe Meriweather,208,97,Southern Illinois University,1953,Phenix City,Alabama
Joe McNamee,198,95,University of San Francisco,1926,,
Joe Kopicki,206,108,University of Detroit Mercy,1960,Warren,Michigan
Joe Kleine,211,115,University of Arkansas,1962,Colorado Springs,Colorado
Joe Kennedy,198,95,Duke University,1947,,
Joe Johnson,201,90,University of Iowa,1947,Carthage,Mississippi
Joe Ingles,203,102,,1987,Happy Valley,Australia
Joe Hutton,185,77,Hamline University,1928,,
Joe Holup,198,97,George Washington University,1934,,
Joe Holland,193,83,University of Kentucky,1925,,
Joe Hassett,196,81,Providence College,1955,Providence,Rhode Island
Joe Harris,198,99,University of Virginia,1991,Chelan,Washington
Joe Graboski,201,88,,1930,,
Joe Fulks*,196,86,Murray State University,1921,Birmingham,Kentucky
Joe Ellis,198,79,University of San Francisco,1944,,
Joe Dumars*,190,86,McNeese State University,1963,Shreveport,Louisiana
Joe Dolhon,183,79,New York University,1927,,
Joe Crispin,183,83,Pennsylvania State University,1979,Pitman,New Jersey
Joe Crawford,196,95,University of Kentucky,1986,Detroit,Michigan
Joe Courtney,203,106,University of Southern Mississippi,1969,Jackson,Mississippi
Joe Cooper,208,104,University of Colorado,1957,Houston,Texas
Joe Cooke,190,79,Indiana University,1948,,
Joe Caldwell,196,88,Arizona State University,1941,Texas City,Texas
Joe Buckhalter,201,95,Tennessee State University,1937,,
Joe Bryant,206,83,La Salle University,1954,Philadelphia,Pennsylvania
Joe Bradley,190,79,Oklahoma State University,1928,Washington,Oklahoma
Joe Binion,203,106,North Carolina Agricultural and Technical State University,1961,Rochester,New York
Joe Barry,193,88,Georgia Institute of Technology,1969,Oakland,California
Joe Arlauckas,206,104,Niagara University,1965,Rochester,New York
Joe Alexander,203,104,West Virginia University,1986,Kaohsiung,Taiwan
Jodie Meeks,193,95,University of Kentucky,1987,Norcross,Georgia
Joby Wright,203,99,Indiana University,1950,,
Joao Vianna,206,97,,1966,Trabajara,Brazil
Joakim Noah,211,104,University of Florida,1985,New York,New York
Jo Jo,190,81,,1947,,
Jiri Welsch,201,94,,1980,Pardubice,Czech Republic
Jimmy Walker,190,88,Providence College,1944,Amherst,Virginia
Jimmy Oliver,196,92,Purdue University,1969,Menifee,Arkansas
Jimmy King,188,79,University of Tulsa,1941,Tulsa,Oklahoma
Jimmy Jones,193,85,Grambling State University,1945,Tallulah,Louisiana
Jimmy Darrow,178,77,Bowling Green State University,1937,Akron,Ohio
Jimmy Darden,185,77,University of Denver,1922,,
Jimmy Collins,188,79,New Mexico State University,1946,,
Jimmy Carruth,208,120,Virginia Polytechnic Institute and State University,1969,El Paso,Texas
Jimmy Butler,201,99,Marquette University,1989,Houston,Texas
Jimmer Fredette,188,88,Brigham Young University,1989,Glens Falls,New York
Jim Zoet,216,108,Kent State University,1953,Uxbridge,Canada
Jim Washington,198,95,Villanova University,1943,Philadelphia,Pennsylvania
Jim Ware,201,95,Oklahoma City University,1944,Natchez,Mississippi
Jim Walsh,193,88,Stanford University,1930,San Francisco,California
Jim Tucker,201,83,Duquesne University,1932,Paris,Kentucky
Jim Thomas,190,86,Indiana University,1960,Lakeland,Florida
Jim Spanarkel,196,86,Duke University,1957,Jersey City,New Jersey
Jim Smith,206,102,Ohio State University,1958,Cleveland,Ohio
Jim Slaughter,211,95,University of South Carolina,1928,,
Jim Seminoff,188,86,University of Southern California,1922,Los Angelse,California
Jim Rowinski,203,113,Purdue University,1961,Long Island,New York
Jim Riffey,193,90,Tulane University,1923,,
Jim Reid,198,95,Winston-Salem State University,1945,,
Jim Ray,185,81,University of Toledo,1934,,
Jim Price,190,88,University of Louisville,1949,Russellville,Kentucky
Jim Pollard*,193,83,Stanford University,1922,Oakland,California
Jim Petersen,208,106,University of Minnesota,1962,Minneapolis,Minnesota
Jim Paxson,198,90,University of Dayton,1932,Pennville,Indiana
Jim Palmer,203,101,University of Dayton,1933,Keokee,Virginia
Jim Owens,196,90,Arizona State University,1950,Los Angeles,California
Jim Nolan,203,95,Georgia Institute of Technology,1927,Macon,Georgia
Jim Neal,211,106,Wofford College,1930,,
Jim Mooney,196,97,Villanova University,1930,,
Jim McMillian,196,97,Columbia University,1948,Raeford,North Carolina
Jim McIlvaine,216,108,Marquette University,1972,Racine,Wisconsin
Jim McElroy,190,86,Central Michigan University,1953,Cotton Plant,Arkansas
Jim McDaniels,211,103,Western Kentucky University,1948,Scottsville,Kentucky
Jim Marsh,201,97,University of Southern California,1946,,
Jim Luisi,188,81,St. Francis College,1928,,
Jim Loscutoff,196,99,University of Oregon,1930,San Francisco,California
Jim Les,180,74,Bradley University,1963,Niles,Illinois
Jim Lampley,208,104,University of Arkansas at Little Rock,1960,Harrisburg,Pennsylvania
Jim Krebs,203,104,Southern Methodist University,1935,Webster Groves,Missouri
Jim King,188,79,University of Tulsa,1941,Tulsa,Oklahoma
Jim Johnstone,211,111,Wake Forest University,1960,New Canaan,Connecticut
Jim Jackson,198,99,Ohio State University,1970,Toledo,Ohio
Jim Holstein,190,81,University of Cincinnati,1930,,
Jim Grandholm,213,106,University of South Florida,1960,Elkhart,Indiana
Jim Garvin,201,90,Boston University,1950,,
Jim Fritsche,203,95,Hamline University,1931,,
Jim Fox,208,104,University of South Carolina,1943,Atlanta,Georgia
Jim Farmer,193,86,University of Alabama,1964,Dothan,Alabama
Jim Eakins,211,97,Brigham Young University,1946,Sacramento,California
Jim Davis,206,102,University of Colorado,1941,Muncie,Indiana
Jim Creighton,203,90,University of Colorado,1950,Billings,Montana
Jim Cleamons,190,83,Ohio State University,1949,Lincolnton,North Carolina
Jim Chones,211,99,Marquette University,1949,Racine,Wisconsin
Jim Caldwell,208,108,Georgia Institute of Technology,1943,Durham,North Carolina
Jim Burns,190,88,Northwestern University,1945,,
Jim Browne,208,106,,1930,Midlothian,Illinois
Jim Brogan,193,83,West Virginia Wesleyan College,1958,Ardmore,Pennsylvania
Jim Brewer,206,95,University of Minnesota,1951,Maywood,Illinois
Jim Brasco,185,77,New York University,1931,Brooklyn,New York
Jim Bostic,201,102,New Mexico State University,1953,Brooklyn,New York
Jim Barnett,203,95,University of Texas at El Paso,1941,Tuckerman,Arkansas
Jim Barnes,203,95,University of Texas at El Paso,1941,Tuckerman,Arkansas
Jim Baechtold,193,92,Eastern Kentucky University,1927,McKeesport,Pennsylvania
Jim Ard,203,97,University of Cincinnati,1948,Harvey,Illinois
Jesse Dark,196,95,Virginia Commonwealth University,1951,Richmond,Virginia
Jesse Branson,201,88,Elon University,1942,Burlington,North Carolina
Jesse Arnelle,196,99,Pennsylvania State University,1933,New Rochelle,New York
Jeryl Sasser,198,90,Southern Methodist University,1979,Dallas,Texas
Jerryd Bayless,190,90,University of Arizona,1988,Phoenix,Arizona
Jerry West*,188,79,West Virginia University,1938,Chelyan,West Virginia
Jerry Stackhouse,198,98,University of North Carolina,1974,Kinston,North Carolina
Jerry Smith,188,86,University of Louisville,1987,Wauwatosa,Wisconsin
Jerry Sloan*,196,88,University of Evansville,1942,McLeansboro,Illinois
Jerry Sichting,185,76,Purdue University,1956,Martinsville,Indiana
Jerry Rullo,178,74,Temple University,1923,Philadelphia,Pennsylvania
Jerry Reynolds,203,90,Louisiana State University,1962,Brooklyn,New York
Jerry Paulson,188,83,Manhattan College,1935,,
Jerry Nagel,183,86,Loyola University of Chicago,1928,Chicago,Illinois
Jerry Lucas*,203,104,Ohio State University,1940,Middletown,Ohio
Jerry Harkness,188,79,Loyola University of Chicago,1940,New York,New York
Jerry Grote,193,97,Loyola Marymount University,1940,,
Jerry Greenspan,196,88,University of Maryland,1941,,
Jerry Fowler,203,104,University of Missouri,1927,,
Jerry Fleishman,188,86,New York University,1922,Brooklyn,New York
Jerry Eaves,193,81,University of Louisville,1959,Louisville,Kentucky
Jerry Chambers,196,83,University of Utah,1943,Washington,District of Columbia
Jerry Bird,198,95,University of Kentucky,1935,Corbin,Kentucky
Jerry Baskerville,201,86,Temple University,1951,Philadelphia,Pennsylvania
Jerrod Mustaf,208,107,University of Maryland,1969,Whiteville,North Carolina
Jerrelle Benimon,203,111,Towson University,1991,Warrenton,Virginia
Jerome Williams,206,93,Georgetown University,1973,Washington,District of Columbia
Jerome Whitehead,208,99,Marquette University,1956,Waukegan,Illinois
Jerome Moiso,208,106,"University of California, Los Angeles",1978,Paris,France
Jerome Lane,198,104,University of Pittsburgh,1966,Akron,Ohio
Jerome Kersey,201,97,Longwood University,1962,Clarksville,Virginia
Jerome Jordan,213,114,University of Tulsa,1986,Kingston,Jamaica
Jerome James,213,136,Florida Agricultural and Mechanical University,1975,Tampa,Florida
Jerome Henderson,211,104,University of New Mexico,1959,Los Angeles,California
Jerome Harmon,193,86,University of Louisville,1969,Gary,Indiana
Jerome Dyson,190,81,University of Connecticut,1987,Rockville,Maryland
Jerome Beasley,208,107,University of North Dakota,1980,Compton,California
Jerome Anderson,196,88,West Virginia University,1953,Mullens,West Virginia
Jerome Allen,193,83,University of Pennsylvania,1973,Philadelphia,Pennsylvania
Jermareo Davidson,208,104,University of Alabama,1984,Atlanta,Georgia
Jermaine Taylor,193,79,Texas Tech University,1960,Blytheville,Arkansas
Jermaine O'Neal,211,102,,1978,Columbia,South Carolina
Jermaine Jackson,193,92,University of Detroit Mercy,1976,Detroit,Michigan
Jerian Grant,203,95,Syracuse University,1994,Portland,Oregon
Jeremy Tyler,208,117,,1991,San Diego,California
Jeremy Richardson,198,83,Delta State University,1984,Allentown,Pennsylvania
Jeremy Pargo,188,99,Gonzaga University,1986,Chicago,Illinois
Jeremy Lin,190,90,Harvard University,1988,Palo Alto,California
Jeremy Lamb,196,83,University of Connecticut,1992,Henrico Valley,Virginia
Jeremy Evans,206,90,Western Kentucky University,1987,Crossett,Arkansas
Jerel McNeal,190,90,Marquette University,1987,Chicago,Illinois
Jerami Grant,203,95,Syracuse University,1994,Portland,Oregon
Jerald Honeycutt,206,111,Tulane University,1974,Shreveport,Louisiana
Jelani McCoy,208,111,"University of California, Los Angeles",1977,Oakland,California
Jeffrey Sheppard,190,86,University of Kentucky,1974,Marietta,Georgia
Jeffery Taylor,193,79,Texas Tech University,1960,Blytheville,Arkansas
Jeff Withey,213,104,University of Kansas,1990,San Diego,California
Jeff Wilkins,211,104,Illinois State University,1955,Chicago,Illinois
Jeff Webster,203,105,University of Oklahoma,1971,Pine Bluff,Arkansas
Jeff Webb,193,77,Kansas State University,1948,,
Jeff Turner,206,104,Vanderbilt University,1962,Bangor,Maine
Jeff Trepagnier,193,90,University of Southern California,1979,Los Angeles,California
Jeff Teague,188,84,Wake Forest University,1988,Indianapolis,Indiana
Jeff Taylor,193,79,Texas Tech University,1960,Blytheville,Arkansas
Jeff Slade,198,99,Kenyon College,1941,,
Jeff Sanders,203,102,Georgia Southern University,1966,Augusta,Georgia
Jeff Ruland,208,108,Iona College,1958,Bayshore,New York
Jeff Nordgaard,201,102,University of Wisconsin-Green Bay,1973,Dawson,Minnesota
Jeff Mullins,193,86,Duke University,1942,Astoria,New York
Jeff McInnis,193,86,University of North Carolina,1974,Charlotte,North Carolina
Jeff Martin,196,88,Murray State University,1967,Cherry Valley,Arkansas
Jeff Malone,193,92,Mississippi State University,1961,Mobile,Alabama
Jeff Lebo,188,81,University of North Carolina,1966,Carlisle,Pennsylvania
Jeff Lamp,198,88,University of Virginia,1959,Minneapolis,Minnesota
Jeff Judkins,198,83,University of Utah,1956,Salt Lake City,Utah
Jeff Hornacek,190,86,Iowa State University,1963,Elmhurst,Illinois
Jeff Halliburton,196,87,Drake University,1949,,
Jeff Green,196,88,University of Maryland,1941,,
Jeff Grayer,196,90,Iowa State University,1965,Flint,Michigan
Jeff Foster,211,107,Texas State University,1977,San Antonio,Texas
Jeff Foote,213,120,Cornell University,1987,Lockwood,New York
Jeff Cross,208,108,University of Maine,1961,Chicago,Illinois
Jeff Cook,208,97,Idaho State University,1956,West Covina,California
Jeff Ayres,188,83,,1945,,
Jeff Adrien,201,111,University of Connecticut,1986,Brookline,Massachusetts
Jayson Williams,206,108,St. John's University,1968,Ritter,South Carolina
Jaylen Brown,193,97,University of Missouri,1992,Oakland,California
Jay Williams,206,108,St. John's University,1968,Ritter,South Carolina
Jay Vincent,201,99,Michigan State University,1959,Kalamazoo,Michigan
Jay Taylor,190,86,Eastern Illinois University,1967,Aurora,Illinois
Jay Murphy,206,99,Boston College,1962,Meriden,Connecticut
Jay Miller,196,92,University of Notre Dame,1943,St. Louis,Missouri
Jay Humphries,190,83,University of Colorado,1962,Los Angeles,California
Jay Guidinger,208,115,University of Minnesota Duluth,1969,Milwaukee,Wisconsin
Jay Edwards,213,102,University of Washington,1955,Seattle,Washington
Jay Carty,203,99,Oregon State University,1941,,
Jay Arnette,188,79,University of Texas at Austin,1938,Austin,Texas
Jawann Oldham,213,97,Seattle University,1957,Chicago,Illinois
Jawad Williams,206,108,St. John's University,1968,Ritter,South Carolina
Javaris Crittenton,196,90,Georgia Institute of Technology,1987,Atlanta,Georgia
JaVale McGee,213,122,"University of Nevada, Reno",1988,Flint,Michigan
Jason Williams,206,108,St. John's University,1968,Ritter,South Carolina
Jason Thompson,185,83,University of South Carolina,1946,New York,New York
Jason Terry,188,83,University of Arizona,1977,Seattle,Washington
Jason Smith,211,113,Louisiana State University,1977,Atlanta,Georgia
Jason Sasser,201,102,Texas Tech University,1974,Denton,Texas
Jason Richardson,198,99,Michigan State University,1981,Saginaw,Michigan
Jason Miskiri,188,79,George Mason University,1975,Georgetown,Guyana
Jason Maxiell,201,117,University of Cincinnati,1983,Chicago,Illinois
Jason Lawson,211,108,Villanova University,1974,Philadelphia,Pennsylvania
Jason Kidd,193,92,University of California,1973,San Francisco,California
Jason Kapono,203,96,"University of California, Los Angeles",1981,Long Beach,California
Jason Hart,190,83,Syracuse University,1978,Los Angeles,California
Jason Collins,193,88,Florida State University,1973,Jacksonville,Florida
Jason Collier,193,88,Florida State University,1973,Jacksonville,Florida
Jason Caffey,203,115,University of Alabama,1973,Mobile,Alabama
Jarvis Varnado,206,104,Mississippi State University,1988,Fairfax,Virginia
Jarvis Hayes,201,99,University of Georgia,1981,Atlanta,Georgia
Jarron Collins,193,88,Florida State University,1973,Jacksonville,Florida
Jarrod Uthoff,206,100,University of Iowa,1993,Cedar Rapids,Iowa
Jarrett Jack,190,90,Georgia Institute of Technology,1983,Fort Washington,Maryland
Jarnell Stokes,206,119,University of Tennessee,1994,Memphis,Tennessee
Jaren Jackson,193,86,Georgetown University,1967,New Orleans,Louisiana
Jarell Martin,208,108,Louisiana State University,1994,Baton Rouge,Louisiana
Jarell Eddie,201,98,Virginia Polytechnic Institute and State University,1991,Tampa,Florida
Jared Sullinger,206,117,Ohio State University,1992,Columbus,Ohio
Jared Reiner,211,115,University of Iowa,1982,Tripp,South Dakota
Jared Jeffries,211,104,Indiana University,1981,Bloomington,Indiana
Jared Dudley,201,102,Boston College,1985,San Diego,California
Jared Cunningham,193,88,Oregon State University,1991,Oakland,California
Jannero Pargo,185,79,University of Arkansas,1979,Chicago,Illinois
Jan Vesely,211,108,,1990,Ostrava,Czech Republic
Jan Van,185,79,,1950,,
JaMychal Green,206,102,University of Alabama,1990,Montgomery,Alabama
Jamison Brewer,193,83,Auburn University,1980,East Point,Georgia
Jamie Watson,201,86,University of South Carolina,1972,Elm City,North Carolina
Jamie Waller,193,97,Virginia Union University,1964,South Boston,Virginia
Jamie Feick,206,115,Michigan State University,1974,Lexington,Ohio
JamesOn Curry,190,86,Oklahoma State University,1986,Pleasant Grove,North Carolina
James Young,198,97,University of Kentucky,1995,Flint,Michigan
James Worthy*,206,102,University of North Carolina,1961,Gastonia,North Carolina
James Wilkes,198,86,"University of California, Los Angeles",1953,Berkeley,California
James White,206,131,Georgetown University,1976,St. Louis,Missouri
James Thomas,198,97,Providence College,1973,Brooklyn,New York
James Southerland,203,97,Syracuse University,1990,Queens,New York
James Singleton,203,97,Murray State University,1981,Chicago,Illinois
James Silas,185,81,Stephen F. Austin State University,1949,Tallulah,Louisiana
James Scott,198,81,St. John's University,1972,Paterson,New Jersey
James Robinson,198,95,"University of Nevada, Las Vegas",1955,Los Angeles,California
James Ray,203,97,Jacksonville University,1957,New Orleans,Louisiana
James Posey,203,97,Xavier University,1977,Cleveland,Ohio
James Phelan,196,88,DePaul University,1925,Chicago,Illinois
James Nunnally,201,92,"University of California, Santa Barbara",1990,San Jose,California
James Michael,198,90,,1992,,
James Lang,208,129,,1983,Mobile,Alabama
James Jones,190,81,Assumption College,1949,,
James Johnson,206,113,Wake Forest University,1987,Cheyenne,Wyoming
James Hardy,203,99,University of San Francisco,1956,Knoxville,Alabama
James Harden,196,99,Arizona State University,1989,Los Angeles,California
James Ennis,201,95,"California State University, Long Beach",1990,Ventura,California
James Edwards,213,102,University of Washington,1955,Seattle,Washington
James Donaldson,218,124,Washington State University,1957,Heacham,United Kingdom
James Cotton,201,90,University of Wyoming,1924,Miles City,Montana
James Collins,193,88,Florida State University,1973,Jacksonville,Florida
James Blackwell,183,86,Dartmouth College,1968,Mount Kisco,New York
James Bailey,206,99,Rutgers University,1957,Dublin,Georgia
James Augustine,208,106,University of Illinois at Urbana-Champaign,1984,Midlothian,Illinois
James Anderson,198,96,Oklahoma State University,1989,El Dorado,Arkansas
Jamel Thomas,198,97,Providence College,1973,Brooklyn,New York
Jameer Nelson,183,86,Saint Joseph's University,1982,Chester,Pennsylvania
Jamario Moon,203,92,Meridian Community College,1980,Goodwater,Alabama
Jamal Sampson,211,106,University of California,1983,Inglewood,California
Jamal Robinson,198,95,"University of Nevada, Las Vegas",1955,Los Angeles,California
Jamal Murray,193,93,University of Kentucky,1997,Kitchener,Canada
Jamal Mashburn,203,108,University of Kentucky,1972,New York,New York
Jamal Crawford,196,90,University of Michigan,1980,Seattle,Washington
Jamaal Wilkes*,198,86,"University of California, Los Angeles",1953,Berkeley,California
Jamaal Tinsley,190,88,Iowa State University,1978,Brooklyn,New York
Jamaal Magloire,211,117,University of Kentucky,1978,Toronto,Canada
Jamaal Franklin,196,86,San Diego State University,1991,Moreno Valley,California
Jalen Rose,203,95,University of Michigan,1973,Detroit,Michigan
Jakob Poeltl,213,112,University of Utah,1995,Vienna,Austria
Jake Voskuhl,211,111,University of Connecticut,1977,Tulsa,Oklahoma
Jake Tsakalidis,218,129,,1979,Rustavi,Georgia
Jake Layman,206,95,University of Maryland,1994,Norwood,Massachusetts
Jake Jones,190,81,Assumption College,1949,,
Jake Ford,190,81,University of Maryland Eastern Shore,1946,,
Jake Fendley,183,81,Northwestern University,1929,,
Jake Carter,193,88,East Texas State University,1924,,
Jake Bornheimer,196,90,Muhlenberg College,1927,New Brunswick,New Jersey
JaKarr Sampson,211,106,University of California,1983,Inglewood,California
JaJuan Johnson,206,113,Wake Forest University,1987,Cheyenne,Wyoming
Jahlil Okafor,211,124,Duke University,1995,Chicago,Illinois
Jahidi White,206,131,Georgetown University,1976,St. Louis,Missouri
Jae Crowder,198,106,Marquette University,1990,Villa Rica,Georgia
Jacque Vaughn,185,86,University of Kansas,1975,Los Angeles,California
Jacky Dorsey,201,104,University of Georgia,1954,Atlanta,Georgia
Jackson Vroman,208,99,Iowa State University,1981,Laguna,California
Jackie Robinson,198,95,"University of Nevada, Las Vegas",1955,Los Angeles,California
Jackie Ridgle,193,88,University of California,1948,Altheimer,Arkansas
Jackie Moreland,201,97,Louisiana Tech University,1938,Minden,Louisiana
Jackie Moore,196,81,La Salle University,1932,Philadelphia,Pennsylvania
Jackie Dinkins,196,95,Voorhees College,1950,,
Jackie Butler,208,113,,1985,McComb,Mississippi
Jack Twyman*,198,95,University of Cincinnati,1934,Pittsburgh,Pennsylvania
Jack Turner,193,77,Western Kentucky University,1930,Bedford,Indiana
Jack Toomay,198,97,University of the Pacific,1922,Ontario,California
Jack Stephens,190,83,University of Notre Dame,1933,,
Jack Smiley,190,86,University of Illinois at Urbana-Champaign,1922,Sandwich,Illinois
Jack Sikma,211,104,Illinois Wesleyan University,1955,Kankakee,Illinois
Jack Phelan,196,88,DePaul University,1925,Chicago,Illinois
Jack Parr,206,99,Kansas State University,1936,Louisville,Kentucky
Jack Parkinson,183,78,University of Kentucky,1924,Yorktown,Indiana
Jack Nichols,201,100,University of Washington,1926,,
Jack Molinas,198,90,Columbia University,1931,New York,New York
Jack McMahon,185,83,St. John's University,1928,,
Jack McCloskey,188,86,University of Pennsylvania,1925,Mahanoy City,Pennsylvania
Jack Marin,201,90,Duke University,1944,Sharon,Pennsylvania
Jack Kiley,185,77,Syracuse University,1929,,
Jack Kerris,198,97,Loyola University of Chicago,1925,,
Jack Haley,208,108,"University of California, Los Angeles",1964,Long Beach,California
Jack Givens,196,92,University of Kentucky,1956,Lexington,Kentucky
Jack George,188,86,La Salle University,1928,Swissvale,Pennsylvania
Jack Foley,190,77,College of the Holy Cross,1939,Worcester,Massachusetts
Jack Cotton,201,90,University of Wyoming,1924,Miles City,Montana
Jack Cooley,206,117,University of Notre Dame,1991,Evanston,Illinois
Jack Coleman,201,88,University of Louisville,1924,Burgin,Kentucky
Jack Burmaster,190,86,University of Illinois at Urbana-Champaign,1926,,
Jabari Smith,211,113,Louisiana State University,1977,Atlanta,Georgia
Jabari Parker,203,113,Duke University,1995,Chicago,Illinois
Jabari Brown,193,97,University of Missouri,1992,Oakland,California
J.R. Smith,188,86,,1920,,
J.R. Reid,203,106,,1966,,
J.R. Henderson,206,104,,1980,,
J.R. Giddens,216,115,,1985,,
J.R. Bremer,206,117,,1981,,
J.J. Redick,188,86,,1984,,
J.J. O'Brien,185,81,,1992,,
J.J. Hickson,218,122,,1986,,
J.J. Barea,203,94,,1984,,
J.J. Anderson,190,83,,1960,,
Ivica Zubac,216,120,,1997,Mostar,Bosnia and Herzegovina
Ivano Newbill,206,111,Georgia Institute of Technology,1970,Sedalia,Missouri
Ivan McFarlin,203,108,Oklahoma State University,1982,Missouri City,Texas
Ivan Johnson,203,104,University of Oregon,1984,San Antonio,Texas
Isiah Thomas*,185,81,Indiana University,1961,Chicago,Illinois
Ish Smith,183,79,Wake Forest University,1988,Charlotte,North Carolina
Isaiah Wilson,188,79,University of Baltimore,1948,Philadelphia,Pennsylvania
Isaiah Whitehead,193,96,Seton Hall University,1995,Brooklyn,New York
Isaiah Thomas,185,81,Indiana University,1961,Chicago,Illinois
Isaiah Taylor,190,77,University of Texas at Austin,1994,Hayward,California
Isaiah Rider,196,97,"University of Nevada, Las Vegas",1971,Oakland,California
Isaiah Morris,203,103,University of Arkansas,1969,Richmond,Virginia
Isaiah Canaan,183,91,Murray State University,1991,Biloxi,Mississippi
Isaac Walthour,180,73,,1930,New York City,New York
Isaac Fontaine,193,95,Washington State University,1975,Sacramento,California
Isaac Austin,208,115,Arizona State University,1969,Gridley,California
Irving Thomas,203,102,Florida State University,1966,Brooklyn,New York
Irv Kiffin,206,102,Oklahoma Baptist University,1951,New York,New York
Irv Bemoras,190,83,University of Illinois at Urbana-Champaign,1930,,
Ira Terrell,203,90,Southern Methodist University,1954,Dallas,Texas
Ira Newble,201,99,Miami University,1975,Southfield,Michigan
Ira Bowman,196,88,University of Pennsylvania,1973,Newark,New Jersey
Ime Udoka,198,97,Portland State University,1977,Portland,Oregon
Iman Shumpert,196,99,Georgia Institute of Technology,1990,Oak Park,Illinois
Ike Diogu,203,113,Arizona State University,1983,Buffalo,New York
Ike Borsavage,203,99,Temple University,1924,Plymouth,Pennsylvania
Igor Rakocevic,190,83,,1978,Belgrade,Serbia
Ibo Kutluay,198,90,,1974,Istanbul,Turkey
Ian Mahinmi,211,113,,1986,Rouen,France
